BENNETT Sam,{3},-25.569658279418945,13.013951301574707,giro-d-italia,2018
VIVIANI Elia,{0},-4.448816299438477,-44.17094421386719,giro-d-italia,2018
DRUCKER Jempy,{0},-13.517470359802246,-27.562801361083984,giro-d-italia,2018
PLANCKAERT Baptiste,{0},-2.336327314376831,-27.814897537231445,giro-d-italia,2018
BELLETTI Manuel,{0},-3.951965808868408,-30.735403060913086,giro-d-italia,2018
MODOLO Sacha,{0},-11.313127517700195,-20.284406661987305,giro-d-italia,2018
VENTURINI Clément,{0},-3.265291929244995,-25.766237258911133,giro-d-italia,2018
SIMION Paolo,{0},5.046152114868164,-32.180328369140625,giro-d-italia,2018
SABATINI Fabio,{0},-3.268580198287964,-44.59416580200195,giro-d-italia,2018
POLANC Jan,{3},8.595104217529297,22.59054183959961,giro-d-italia,2018
BATTAGLIN Enrico,{3},1.728614330291748,21.40071678161621,giro-d-italia,2018
MORI Manuele,{3},-10.333889961242676,17.938234329223633,giro-d-italia,2018
HAIG Jack,{3},8.527219772338867,8.694487571716309,giro-d-italia,2018
GIBBONS Ryan,{0},-14.46005916595459,-23.073692321777344,giro-d-italia,2018
BEWLEY Sam,{0},-6.021089553833008,-47.42697525024414,giro-d-italia,2018
DEBUSSCHERE Jens,{0},-3.5794310569763184,-42.8958740234375,giro-d-italia,2018
BOIVIN Guillaume,{0},-5.9331889152526855,-30.78128433227539,giro-d-italia,2018
MØRKØV Michael,{1},-18.817550659179688,-35.813899993896484,giro-d-italia,2018
PFINGSTEN Christoph,{3},-33.605384826660156,4.622382164001465,giro-d-italia,2018
VISCONTI Giovanni,{3},12.9744873046875,19.282926559448242,giro-d-italia,2018
BONIFAZIO Niccolò,{0},-12.667561531066895,-23.511999130249023,giro-d-italia,2018
CAVAGNA Rémi,{0},-5.842631816864014,-34.05403518676758,giro-d-italia,2018
POZZOVIVO Domenico,{3},37.795867919921875,21.978111267089844,giro-d-italia,2018
VENTER Jaco,{3},-26.23855209350586,11.730782508850098,giro-d-italia,2018
VAN HOECKE Gijs,{0},-3.465737819671631,-17.609926223754883,giro-d-italia,2018
ROELANDTS Jürgen,{0},-13.047237396240234,-28.807937622070312,giro-d-italia,2018
MOHORIČ Matej,{3},14.792569160461426,20.415616989135742,giro-d-italia,2018
SBARAGLI Kristian,{0},-14.205233573913574,-25.06737518310547,giro-d-italia,2018
DENNIS Rohan,{1},14.088431358337402,32.97856140136719,giro-d-italia,2018
VAN POPPEL Boy,{0},-16.0761775970459,-35.808467864990234,giro-d-italia,2018
BERTAZZO Liam,{0},4.10381555557251,-32.237483978271484,giro-d-italia,2018
VAN ASBROECK Tom,{0},-12.518901824951172,-30.265913009643555,giro-d-italia,2018
ARMÉE Sander,{3},4.831876277923584,20.842945098876953,giro-d-italia,2018
ŠTYBAR Zdeněk,{0},-10.7078275680542,-19.49115753173828,giro-d-italia,2018
ULISSI Diego,{1},11.331216812133789,24.86558723449707,giro-d-italia,2018
GONÇALVES José,{3},29.771045684814453,22.51314353942871,giro-d-italia,2018
CATTANEO Mattia,{3},10.59415054321289,18.436552047729492,giro-d-italia,2018
MONTAGUTI Matteo,{1},2.9212136268615723,8.081979751586914,giro-d-italia,2018
JAUREGUI Quentin,{1},5.256089687347412,6.973130702972412,giro-d-italia,2018
VILLELLA Davide,{3},-12.92884349822998,17.98568344116211,giro-d-italia,2018
BOARO Manuele,{3},-6.610645294189453,5.776363372802734,giro-d-italia,2018
BERHANE Natnael,{1},-9.97175121307373,-6.694855690002441,giro-d-italia,2018
SÉNÉCHAL Florian,{0},-2.5552303791046143,-31.08679962158203,giro-d-italia,2018
SCHILLINGER Andreas,{0},-7.199931621551514,-42.749759674072266,giro-d-italia,2018
FORMOLO Davide,{3},35.71805953979492,26.63644790649414,giro-d-italia,2018
BENEDETTI Cesare,{0},-3.5964443683624268,-22.14444351196289,giro-d-italia,2018
GROßSCHARTNER Felix,{3},19.157283782958984,20.089637756347656,giro-d-italia,2018
FRAPPORTI Marco,{3},-21.53594970703125,2.8148837089538574,giro-d-italia,2018
MOSCA Jacopo,{3},-28.398038864135742,10.684370994567871,giro-d-italia,2018
LAENGEN Vegard Stake,{0},-3.138669490814209,-14.8424711227417,giro-d-italia,2018
KONRAD Patrick,{3},35.73778533935547,23.476375579833984,giro-d-italia,2018
PREIDLER Georg,{1},13.234086036682129,32.13722610473633,giro-d-italia,2018
ROY Jérémy,{3},-21.11429214477539,1.2149698734283447,giro-d-italia,2018
GENIEZ Alexandre,{3},34.15311050415039,24.169668197631836,giro-d-italia,2018
HERMANS Ben,{1},0.9241811037063599,4.756929874420166,giro-d-italia,2018
FRANKINY Kilian,{3},-0.482470840215683,21.639755249023438,giro-d-italia,2018
FRISON Frederik,{0},-0.6762439608573914,-32.922454833984375,giro-d-italia,2018
HANSEN Adam,{3},-12.118818283081055,14.814952850341797,giro-d-italia,2018
BAK Lars Ytting,{0},-7.037818908691406,-31.128023147583008,giro-d-italia,2018
VAN EMDEN Jos,{0},-18.55884552001953,-37.55059814453125,giro-d-italia,2018
VAN POPPEL Danny,{0},-14.437906265258789,-26.360595703125,giro-d-italia,2018
MARTIN Tony,{3},-24.23394203186035,9.416159629821777,giro-d-italia,2018
MULLEN Ryan,{0},2.589826822280884,-35.2522087097168,giro-d-italia,2018
OOMEN Sam,{3},34.763118743896484,22.325468063354492,giro-d-italia,2018
BROWN Nathan,{3},-4.600543975830078,12.221571922302246,giro-d-italia,2018
GAVAZZI Francesco,{3},-5.781996250152588,11.629314422607422,giro-d-italia,2018
