VAN DER SANDE Tosh,{5},giro-d-italia,2019
SIMION Paolo,{2},giro-d-italia,2019
TOLHOEK Antwan,{5},giro-d-italia,2019
GUARNIERI Jacopo,{2},giro-d-italia,2019
COVILI Luca,{5},giro-d-italia,2019
ACKERMANN Pascal,{2},giro-d-italia,2019
KUSS Sepp,{0},giro-d-italia,2019
HANSEN Adam,{5},giro-d-italia,2019
GAROSIO Andrea,{2},giro-d-italia,2019
SBARAGLI Kristian,{5},giro-d-italia,2019
LE GAC Olivier,{2},giro-d-italia,2019
DUNNE Conor,{2},giro-d-italia,2019
CIMA Damiano,{2},giro-d-italia,2019
ROTA Lorenzo,{5},giro-d-italia,2019
BROWN Nathan,{5},giro-d-italia,2019
NIBALI Antonio,{5},giro-d-italia,2019
PEDRERO Antonio,{0},giro-d-italia,2019
BELLETTI Manuel,{2},giro-d-italia,2019
GAVAZZI Francesco,{5},giro-d-italia,2019
MARTENS Paul,{5},giro-d-italia,2019
GEBREMEDHIN Awet,{2},giro-d-italia,2019
BOIVIN Guillaume,{2},giro-d-italia,2019
SENNI Manuel,{0},giro-d-italia,2019
NIV Guy,{5},giro-d-italia,2019
FLÓREZ Miguel Eduardo,{5},giro-d-italia,2019
LEEZER Tom,{2},giro-d-italia,2019
HATSUYAMA Sho,{2},giro-d-italia,2019
LOBATO Juan José,{2},giro-d-italia,2019
SOSA Iván Ramiro,{0},giro-d-italia,2019
DUNBAR Eddie,{0},giro-d-italia,2019
GANNA Filippo,{2},giro-d-italia,2020
CAMPENAERTS Victor,{1},giro-d-italia,2020
DENNIS Rohan,{0},giro-d-italia,2020
ALMEIDA João,{3},giro-d-italia,2020
SCOTSON Miles,{1},giro-d-italia,2020
ČERNÝ Josef,{2},giro-d-italia,2020
HAGA Chad,{2},giro-d-italia,2020
MCNULTY Brandon,{0},giro-d-italia,2020
GRADEK Kamil,{2},giro-d-italia,2020
TRATNIK Jan,{5},giro-d-italia,2020
KELDERMAN Wilco,{3},giro-d-italia,2020
TUSVELD Martijn,{0},giro-d-italia,2020
GEOGHEGAN HART Tao,{3},giro-d-italia,2020
DE GENDT Thomas,{0},giro-d-italia,2020
BODNAR Maciej,{1},giro-d-italia,2020
ROSSKOPF Joey,{5},giro-d-italia,2020
DOWSETT Alex,{1},giro-d-italia,2020
SOBRERO Matteo,{5},giro-d-italia,2020
POZZOVIVO Domenico,{3},giro-d-italia,2020
BRÄNDLE Matthias,{1},giro-d-italia,2020
PARET-PEINTRE Aurélien,{0},giro-d-italia,2020
HONORÉ Mikkel Frølich,{0},giro-d-italia,2020
FELLINE Fabio,{0},giro-d-italia,2020
BILBAO Pello,{3},giro-d-italia,2020
O'CONNOR Ben,{0},giro-d-italia,2020
ULISSI Diego,{0},giro-d-italia,2020
BJERG Mikkel,{1},giro-d-italia,2020
SWIFT Ben,{0},giro-d-italia,2020
PUCCIO Salvatore,{4},giro-d-italia,2020
NIBALI Vincenzo,{3},giro-d-italia,2020
FUGLSANG Jakob,{3},giro-d-italia,2020
BALLERINI Davide,{5},giro-d-italia,2020
MASNADA Fausto,{3},giro-d-italia,2020
VENDRAME Andrea,{4},giro-d-italia,2020
OOMEN Sam,{0},giro-d-italia,2020
KONRAD Patrick,{3},giro-d-italia,2020
MEINTJES Louis,{0},giro-d-italia,2020
HINDLEY Jai,{3},giro-d-italia,2020
DÉMARE Arnaud,{1},giro-d-italia,2020
WARBASSE Larry,{0},giro-d-italia,2020
VALTER Attila,{4},giro-d-italia,2020
KONOVALOVAS Ignatas,{1},giro-d-italia,2020
RODRÍGUEZ Óscar,{0},giro-d-italia,2020
BOUCHARD Geoffrey,{4},giro-d-italia,2020
ZAKARIN Ilnur,{0},giro-d-italia,2020
CONTI Valerio,{1},giro-d-italia,2020
HODEG Álvaro José,{1},giro-d-italia,2020
SERRY Pieter,{0},giro-d-italia,2020
KNOX James,{0},giro-d-italia,2020
HAMILTON Chris,{0},giro-d-italia,2020
PERNSTEINER Hermann,{3},giro-d-italia,2020
SAGAN Peter,{1},giro-d-italia,2020
CAICEDO Jonathan Klever,{4},giro-d-italia,2020
OLDANI Stefano,{1},giro-d-italia,2020
ROSSETTO Stéphane,{5},giro-d-italia,2020
FABBRO Matteo,{0},giro-d-italia,2020
DENZ Nico,{2},giro-d-italia,2020
CONSONNI Simone,{1},giro-d-italia,2020
BATTAGLIN Enrico,{0},giro-d-italia,2020
HOLMES Matthew,{5},giro-d-italia,2020
MAŁECKI Kamil,{5},giro-d-italia,2020
CLARKE Simon,{2},giro-d-italia,2020
GUERREIRO Ruben,{0},giro-d-italia,2020
KANGERT Tanel,{0},giro-d-italia,2020
FRANKINY Kilian,{2},giro-d-italia,2020
VANHOUCKE Harm,{4},giro-d-italia,2020
NOVAK Domen,{0},giro-d-italia,2020
MAJKA Rafał,{3},giro-d-italia,2020
PADUN Mark,{2},giro-d-italia,2020
LE TURNIER Mathias,{2},giro-d-italia,2020
DIBBEN Jonathan,{1},giro-d-italia,2020
